time,utilization
2025-07-25 22:25:57,34
2025-07-25 22:25:56,34
2025-07-25 22:25:55,34
2025-07-25 22:25:54,34
2025-07-25 22:25:53,34
2025-07-25 22:25:52,34
2025-07-25 22:25:51,34
2025-07-25 22:25:50,34
2025-07-25 22:25:49,34
2025-07-25 22:25:48,34
2025-07-25 22:25:47,34
2025-07-25 22:25:46,34
2025-07-25 22:25:45,34
2025-07-25 22:25:44,34
2025-07-25 22:25:43,34
2025-07-25 22:25:42,34
2025-07-25 22:25:41,34
2025-07-25 22:25:40,34
2025-07-25 22:25:39,34
2025-07-25 22:25:38,34
2025-07-25 22:25:37,34
2025-07-25 22:25:36,34
2025-07-25 22:25:35,34
2025-07-25 22:25:34,34
2025-07-25 22:25:33,34
2025-07-25 22:25:32,34
2025-07-25 22:25:31,34
2025-07-25 22:25:30,34
2025-07-25 22:25:29,34
2025-07-25 22:25:28,34
2025-07-25 22:25:27,34
2025-07-25 22:25:26,34
2025-07-25 22:25:25,34
2025-07-25 22:25:24,34
2025-07-25 22:25:23,34
2025-07-25 22:25:22,34
2025-07-25 22:25:21,34
2025-07-25 22:25:20,34
2025-07-25 22:25:19,34
2025-07-25 22:25:18,34
2025-07-25 22:25:17,34
2025-07-25 22:25:16,34
2025-07-25 22:25:15,34
2025-07-25 22:25:14,34
2025-07-25 22:25:13,34
2025-07-25 22:25:12,34
2025-07-25 22:25:11,34
2025-07-25 22:25:10,34
