time,utilization
2025-07-25 22:44:29,34
2025-07-25 22:44:28,34
2025-07-25 22:44:27,34
2025-07-25 22:44:26,34
2025-07-25 22:44:25,34
2025-07-25 22:44:24,34
2025-07-25 22:44:23,34
2025-07-25 22:44:22,34
2025-07-25 22:44:21,34
2025-07-25 22:44:20,34
2025-07-25 22:44:19,34
2025-07-25 22:44:18,34
2025-07-25 22:44:17,34
2025-07-25 22:44:16,34
2025-07-25 22:44:15,34
2025-07-25 22:44:14,34
2025-07-25 22:44:13,34
2025-07-25 22:44:12,34
2025-07-25 22:44:11,34
2025-07-25 22:44:10,34
2025-07-25 22:44:09,34
2025-07-25 22:44:08,34
2025-07-25 22:44:07,34
2025-07-25 22:44:06,34
2025-07-25 22:44:05,34
2025-07-25 22:44:04,34
2025-07-25 22:44:03,34
2025-07-25 22:44:02,34
2025-07-25 22:44:01,34
2025-07-25 22:44:00,34
2025-07-25 22:43:59,34
2025-07-25 22:43:58,34
2025-07-25 22:43:57,34
2025-07-25 22:43:56,34
2025-07-25 22:43:55,34
2025-07-25 22:43:54,34
2025-07-25 22:43:53,34
