time,utilization
2025-07-25 22:30:17,34
2025-07-25 22:30:16,34
2025-07-25 22:30:15,34
2025-07-25 22:30:14,34
2025-07-25 22:30:13,34
2025-07-25 22:30:12,34
2025-07-25 22:30:11,34
2025-07-25 22:30:10,34
2025-07-25 22:30:09,34
2025-07-25 22:30:08,34
2025-07-25 22:30:07,34
2025-07-25 22:30:06,34
2025-07-25 22:30:05,34
2025-07-25 22:30:04,34
2025-07-25 22:30:03,34
2025-07-25 22:30:02,34
2025-07-25 22:30:01,34
2025-07-25 22:30:00,34
2025-07-25 22:29:59,34
2025-07-25 22:29:58,34
2025-07-25 22:29:57,34
2025-07-25 22:29:56,34
2025-07-25 22:29:55,34
2025-07-25 22:29:54,34
2025-07-25 22:29:53,34
2025-07-25 22:29:52,34
2025-07-25 22:29:51,34
2025-07-25 22:29:50,34
2025-07-25 22:29:49,34
2025-07-25 22:29:48,34
2025-07-25 22:29:47,34
2025-07-25 22:29:46,34
2025-07-25 22:29:45,34
2025-07-25 22:29:44,34
2025-07-25 22:29:43,34
2025-07-25 22:29:42,34
2025-07-25 22:29:41,34
2025-07-25 22:29:40,34
2025-07-25 22:29:39,34
2025-07-25 22:29:38,34
2025-07-25 22:29:37,34
2025-07-25 22:29:36,34
2025-07-25 22:29:35,34
2025-07-25 22:29:34,34
2025-07-25 22:29:33,34
