time,user,system
2025-07-25 22:30:17,0.0141712,0.0090351
2025-07-25 22:30:16,0.0147873,0.0093999
2025-07-25 22:30:15,0.0154482,0.0097864
2025-07-25 22:30:14,0.0141865,0.0089993
2025-07-25 22:30:13,0.0125763,0.0080383
2025-07-25 22:30:12,0.0125189,0.0079916
2025-07-25 22:30:11,0.0136341,0.0087058
2025-07-25 22:30:10,0.0151869,0.0096826
2025-07-25 22:30:09,0.0127466,0.0080851
2025-07-25 22:30:08,0.0117215,0.0074311
2025-07-25 22:30:07,0.0128733,0.0082316
2025-07-25 22:30:06,0.0135151,0.0085894
2025-07-25 22:30:05,0.0140585,0.0089849
2025-07-25 22:30:04,0.0131541,0.0083775
2025-07-25 22:30:03,0.013752,0.0087343
2025-07-25 22:30:02,0.0138068,0.0087965
2025-07-25 22:30:01,0.0135201,0.0085966
2025-07-25 22:30:00,0.0132077,0.008393
2025-07-25 22:29:59,0.0113843,0.0072724
2025-07-25 22:29:58,0.0119394,0.0076107
2025-07-25 22:29:57,0.0131562,0.008416
2025-07-25 22:29:56,0.0138527,0.0087723
2025-07-25 22:29:55,0.0127158,0.0080897
2025-07-25 22:29:54,0.0123725,0.0078825
2025-07-25 22:29:53,0.0137192,0.0087292
2025-07-25 22:29:52,0.0149579,0.0095347
2025-07-25 22:29:51,0.0150939,0.009654
2025-07-25 22:29:50,0.01762,0.0112253
2025-07-25 22:29:49,0.0175083,0.0111461
2025-07-25 22:29:48,0.0186046,0.0118246
2025-07-25 22:29:47,0.0182595,0.0116106
2025-07-25 22:29:46,0.0162163,0.0103484
2025-07-25 22:29:45,0.015583,0.0099523
2025-07-25 22:29:44,0.0150015,0.0095261
2025-07-25 22:29:43,0.0152448,0.009717
2025-07-25 22:29:42,0.0094049,0.017733
2025-07-25 22:29:41,0.0003114,0.0289625
2025-07-25 22:29:40,0,0.0242879
2025-07-25 22:29:39,0,0.0250218
2025-07-25 22:29:38,0,0.0271791
2025-07-25 22:29:37,0,0.0269161
2025-07-25 22:29:36,0,0.0274375
2025-07-25 22:29:35,0,0.0271637
2025-07-25 22:29:34,0,0.0292904
2025-07-25 22:29:33,0,0.029729
